,base,yng,mid,old
2011-03-28,11132389,18,4,8
2011-03-29,11847897,7,1,27
2011-03-30,11744168,8,3,20
2011-03-31,11882225,9,0,10
2011-04-01,12757818,5,0,14
2011-04-02,11545521,4,3,16
2011-04-03,11845569,10,2,17
2011-04-04,11407831,9,4,13
2011-04-05,11533243,9,0,10
2011-04-06,11779730,7,2,14
2011-04-07,12517071,8,4,14
2011-04-08,12081982,6,2,14
2011-04-09,11854248,11,3,12
2011-04-10,12829182,16,4,17
2011-04-11,12379683,8,3,20
2011-04-12,11991832,6,3,11
2011-04-13,11479150,4,2,14
2011-04-14,11569235,7,5,16
2011-04-15,11822448,2,0,16
2011-04-16,11988337,6,1,15
2011-04-17,12055311,4,4,16
2011-04-18,11350897,9,2,26
2011-04-19,11597238,10,1,8
2011-04-20,11246613,12,2,22
2011-04-21,11737005,8,0,29
2011-04-22,12065692,5,2,26
2011-04-23,11966242,6,1,4
2011-04-24,12604596,4,6,18
2011-04-25,11666223,12,0,10
2011-04-26,11852443,9,2,14
2011-04-27,12046409,3,1,16
2011-04-28,11838256,6,4,17
2011-04-29,12288318,7,1,15
2011-04-30,11819337,10,0,17
2011-05-01,12560386,6,3,16
2011-05-02,11957787,7,2,20
2011-05-03,12115494,3,2,11
2011-05-04,12151629,9,5,9
2011-05-05,12631619,7,1,19
2011-05-06,12388110,9,4,15
2011-05-07,12956238,11,2,8
2011-05-08,13716870,4,6,11
2011-05-09,12486695,9,4,25
2011-05-10,12691855,8,4,22
2011-05-11,12067526,7,3,47
2011-05-12,12521915,2,0,24
2011-05-13,12688510,10,0,17
2011-05-14,12659959,9,1,14
2011-05-15,13445916,5,2,7
2011-05-16,12433615,8,2,20
2011-05-17,12826862,11,2,22
2011-05-18,12600649,8,2,23
2011-05-19,12655730,6,3,23
2011-05-20,12955321,5,3,24
2011-05-21,13055788,2,0,13
2011-05-22,13930576,2,2,20
2011-05-23,12745675,5,2,23
2011-05-24,12627869,7,4,17
2011-05-25,11708259,8,0,15
2011-05-26,12322877,9,5,17
2011-05-27,12802169,13,2,14
2011-05-28,13098161,10,2,18
2011-05-29,14278318,10,1,13
2011-05-30,12881637,7,2,29
2011-05-31,12780140,11,5,20
2011-06-01,13077442,8,3,24
2011-06-02,12952265,9,1,16
2011-06-03,13100613,7,3,23
2011-06-04,13729388,9,4,17
2011-06-05,13674900,7,1,19
2011-06-06,12972927,5,3,16
2011-06-07,13364288,6,4,32
2011-06-08,13164490,11,2,13
2011-06-09,13553772,8,3,30
2011-06-10,12987012,12,1,28
2011-06-11,13039600,11,3,24
2011-06-12,13837092,4,3,13
2011-06-13,13119828,10,1,14
2011-06-14,12972705,38,4,21
2011-06-15,12869161,38,1,184
2011-06-16,12880127,12,2,201
2011-06-17,12713538,11,1,49
2011-06-18,12767101,9,1,58
2011-06-19,13607231,13,1,27
2011-06-20,13074570,11,5,50
2011-06-21,13315283,11,2,24
2011-06-22,13719471,8,3,26
2011-06-23,13419952,9,0,24
2011-06-24,13567335,9,3,18
2011-06-25,13170976,8,1,24
2011-06-26,13604479,14,3,16
2011-06-27,12711862,24,2,65
2011-06-28,13142946,11,4,107
2011-06-29,13379836,14,2,49
2011-06-30,13257353,4,2,36
2011-07-01,13495874,5,3,35
2011-07-02,12844903,10,5,48
2011-07-03,13967209,14,1,33
2011-07-04,13397224,6,0,26
2011-07-05,13489161,8,4,27
2011-07-06,13297947,4,4,33
2011-07-07,13646728,13,2,24
2011-07-08,13877223,10,5,41
2011-07-09,13610476,5,2,18
2011-07-10,14536841,11,2,26
2011-07-11,13445274,17,5,60
2011-07-12,13278490,12,1,19
2011-07-13,13469194,14,3,22
2011-07-14,13790923,11,16,44
2011-07-15,14337797,16,2,38
2011-07-16,13741736,13,0,30
2011-07-17,14094617,19,1,27
2011-07-18,15889515,19,1,13
2011-07-19,13690303,7,3,19
2011-07-20,14366700,13,1,25
2011-07-21,14268169,13,3,22
2011-07-22,14141021,9,3,23
2011-07-23,14163358,8,3,23
2011-07-24,15595987,15,3,23
2011-07-25,14244859,6,4,25
2011-07-26,14598702,13,4,28
2011-07-27,14618344,6,4,26
2011-07-28,14731077,24,3,18
2011-07-29,14411138,12,1,32
2011-07-30,14375796,7,1,16
2011-07-31,14769357,7,3,21
2011-08-01,14137302,13,1,17
2011-08-02,14355036,7,2,14
2011-08-03,14129847,7,6,26
2011-08-04,14292679,8,3,15
2011-08-05,14171085,8,1,20
2011-08-06,14473999,4,2,19
2011-08-07,14283962,13,3,20
2011-08-08,13811382,13,3,32
2011-08-09,14032408,12,4,20
2011-08-10,14762143,10,2,18
2011-08-11,14408406,18,7,24
2011-08-12,14752755,11,2,24
2011-08-13,14109930,7,7,17
2011-08-14,13899557,11,2,13
2011-08-15,14103261,10,0,18
2011-08-16,14464161,13,6,30
2011-08-17,14127839,14,3,31
2011-08-18,14620475,14,3,29
2011-08-19,15145635,15,8,19
2011-08-20,14647778,14,1,18
2011-08-21,14900627,8,1,9
2011-08-22,14014828,11,9,18
2011-08-23,14693014,13,4,13
2011-08-24,14451056,6,5,18
2011-08-25,14394556,10,6,23
2011-08-26,15943167,10,4,25
2011-08-27,14411520,7,2,13
2011-08-28,14819192,11,1,15
2011-08-29,14107271,11,2,15
2011-08-30,14097121,6,2,29
2011-08-31,14310179,15,3,32
2011-09-01,14458562,15,1,19
2011-09-02,15172865,9,3,23
2011-09-03,15298522,14,4,20
2011-09-04,15251376,13,3,12
2011-09-05,14062948,9,2,17
2011-09-06,14386843,13,1,41
2011-09-07,14187629,8,3,43
2011-09-08,13917523,13,3,23
2011-09-09,14383488,8,2,25
2011-09-10,14387654,8,1,27
2011-09-11,15055377,3,5,14
2011-09-12,13913453,7,2,21
2011-09-13,13939746,9,5,22
2011-09-14,13997072,13,3,19
2011-09-15,13990337,4,4,16
2011-09-16,14340171,14,3,31
2011-09-17,14287351,5,1,18
2011-09-18,14929694,9,3,14
2011-09-19,14938266,6,1,31
2011-09-20,15027956,10,0,30
2011-09-21,18738736,6,1,42
2011-09-22,14507742,5,3,33
2011-09-23,14889762,10,1,25
2011-09-24,14480422,10,1,22
2011-09-25,14861017,12,4,17
2011-09-26,14184927,10,3,33
2011-09-27,14429574,15,2,46
2011-09-28,14317373,8,0,45
2011-09-29,14356554,13,3,30
2011-09-30,14329366,9,3,45
2011-10-01,14962727,7,1,17
2011-10-02,15124558,5,5,17
